pct tps min_lat max_lat last_stddev
1 1669 786 14072.99 1267.16053363444
2 2301.96 797 18528.92 1561.43214701894
3 2760.97 803 22732.91 1744.87171630785
4 3106 808 26193.96 1911.98301448005
5 3431.95 812 29819.65 2085.91256123445
6 3718.94 815 32761.64 2239.39611398327
7 3980.93 818 35172.86 2380.14581834868
8 4225 820 37103.76 2525.78045504485
9 4450 823 38872 2647.29473662519
10 4659 825 40549.5 2762.93329278211
11 4885 828 42156.78 2873.53278135309
12 5100 830 43909.88 2984.67423951992
13 5296 832 45566.87 3092.8441625944
14 5496 833 47125 3211.28342900322
15 5672.85 835 48682.7 3323.71902033126
16 5830 837 50168.84 3440.24922122616
17 5957 839 51656 3557.23535123993
18 6077 840 53002.64 3678.71963211447
19 6176 842 54445.43 3798.96377768405
20 6262 844 55911.6 3916.11853631268
21 6339 845 57611 4039.62547474242
22 6410.78 847 59461.78 4159.60646347973
23 6476 849 61581.85 4273.82175888312
24 6539 850 63958.04 4384.21237224801
25 6597 852 66415 4490.86218246257
26 6654 854 69011.96 4594.8820543955
27 6706 855 71399.73 4703.02602304228
28 6762 857 73737.44 4805.20071174248
29 6812 858 75972.84 4899.52095464677
30 6864 860 78550.7 4996.08567062903
31 6916 861 80996.45 5097.59782971727
32 6967 863 83446.08 5192.2845276658
33 7018 864 85872.67 5294.20605780999
34 7069 866 87809 5397.27054488256
35 7119 867 89575 5497.79539548486
36 7172 869 91260.64 5605.96478283836
37 7226 870 92944 5712.96745070425
38 7281 872 94561.62 5826.51988475223
39 7335 873 96290 5937.93138422645
40 7394 875 97998 6053.33882598881
41 7455.59 876 99765.77 6174.18459456413
42 7517 878 101571.32 6295.75805477278
43 7577 879 103567.42 6416.95926693004
44 7636 881 105486.12 6543.36299625126
45 7698 883 107549.65 6671.64552923036
46 7761 884 109686.54 6803.56650435344
47 7827 886 111887 6948.13085289673
48 7891 887 114041.56 7084.12724491319
49 7959 889 116266.02 7243.98703653326
50 8026 890 118769.5 7390.93768961595
51 8093 892 121339.96 7538.3502815065
52 8167 893 123820 7697.42547364824
53 8239 895 126472.17 7855.05372007364
54 8310 897 129156.92 8026.19868698117
55 8381 898 132009.9 8193.34234994965
56 8455 900 135031.64 8360.78115446089
57 8529 902 138035.31 8534.98152332539
58 8596 903 141151.42 8720.32974223626
59 8661 905 144245.41 8919.74904118402
60 8728 907 147312.6 9126.76725324484
61 8797 908 150303 9333.72716319451
62 8863 910 153450.14 9539.78572537549
63 8932 912 156761 9763.61732897016
64 9001 913 160237.36 9994.24816678209
65 9070 915 163581 10225.1958527831
66 9139 917 166925 10498.4200739976
67 9208 919 170200.33 10759.6517380021
68 9279 920 173405.32 11052.8465343223
69 9347.31 922 176444.31 11352.7665799031
70 9416 924 180052.6 11648.7891535115
71 9488 926 183705.16 11966.9098827967
72 9561 928 187192 12288.4117951697
73 9631 930 191397.27 12584.0427635175
74 9702 932 195699.26 12911.2360306109
75 9773 934 200211.25 13220.691526086
76 9848.24000000001 936 205417.2 13533.1159945529
77 9921 938 210801.61 13821.1243328635
78 10001 940 216397.22 14115.456809775
79 10075 942 221820.84 14404.9580873332
80 10152 944 226991.2 14691.6171522473
81 10234 946 231891.19 14984.8246617485
82 10316 949 236490.36 15276.8863847485
83 10397.17 951 240791.04 15562.7815352637
84 10490.16 954 244772.64 15881.7139086203
85 10582 956 248600 16222.8423301418
86 10680 959 252544.14 16557.6092487688
87 10781 962 256445.91 16944.380491142
88 10886 965 260491.24 17375.3348015733
89 10995 969 264883.88 17872.3097763717
90 11108 972 270099.6 18509.1917710219
91 11229.09 976 275814.44 19401.9723972837
92 11354 980 282322.8 20611.8617293153
93 11490 985 290336.42 22141.7236624306
94 11637 990 300345 24224.9568738861
95 11805 996 315649.35 26971.9997222317
96 11997.04 1003 342169.279999999 30893.1730908384
97 12250 1013 396326.59 36504.7767532634
98 12566.02 1026 493431.400000001 46436.7458265034
99 13060.01 1050 712322.21 67313.0404365133
100 14716 153876 2309612 690959.362996841
(100 rows)
