pct tps min_lat max_lat last_stddev
1 2540.98 861 7435 577.651279687919
2 3401.98 870 8019.98 632.647021033003
3 3788.97 876 8801.97 722.093294113161
4 3988 880 10284.96 855.087129180029
5 4130 884 12939.8 1008.74813376039
6 4240 887 15118.94 1174.63119546602
7 4335 890 17172.58 1370.34395617085
8 4425.92 892 19203.76 1619.45648168071
9 4501.91 894 20802 1825.59730498351
10 4574 897 22231.5 2000.90973818889
11 4637 898 23543 2164.4126751281
12 4695 900 24927.76 2335.31300294922
13 4745 902 26338.22 2499.68409500373
14 4788 903 27786.86 2671.66992798036
15 4815 905 29116.25 2852.09915453129
16 4837 906 30360 3041.33560696423
17 4852 907 31568.49 3254.52302307622
18 4864 909 32759.82 3483.24701931343
19 4875 910 34039.81 3727.05638234308
20 4883 911 35243.8 3984.21933806363
21 4891 912 36468.79 4226.56712608529
22 4898 913 37694.78 4473.67514132782
23 4904 915 38820 4720.58995818414
24 4910 916 39906.76 4949.17577600058
25 4915 917 40922.75 5195.77913100212
26 4920 918 41904.74 5433.6849532107
27 4924 919 42905.19 5674.37601363518
28 4929 920 43940 5912.00765502721
29 4933 921 44924.42 6137.00656623413
30 4937 922 46024.9 6331.51748362617
31 4941 923 47077 6537.19047678995
32 4944 924 48169.68 6735.66234423848
33 4948 924.670000000002 49297.67 6941.90255887133
34 4951 925 50359.64 7148.88323602323
35 4954 926 51540.3 7359.37562500288
36 4958 927 52689.64 7596.02165027215
37 4961 928 53874.63 7832.63624201085
38 4964 929 55008 8069.26492913908
39 4967 930 56170 8318.34419154204
40 4970 931 57470.6 8596.91335228326
41 4973 932 58851 8886.22673972388
42 4976 932 60554.58 9189.83024242859
43 4979 933 62512.14 9532.66143236574
44 4982 934 64604.56 9883.68203928412
45 4985 935 67002.65 10282.9664865067
46 4987 936 69390 10718.241233416
47 4990 937 72006.65 11203.8183220501
48 4993 937 74818.52 11750.7867464891
49 4996 938 77663.06 12344.5235628749
50 4999 939 80801.5 13015.3725630017
51 5002 940 84045.94 13750.249984526
52 5004.48 941 87073.96 14554.8378934576
53 5007 942 89675.47 15415.234359302
54 5010 943 92263.92 16342.274791236
55 5013 943 94846.45 17239.552323785
56 5016 944 97333.88 18132.8029922878
57 5019 945 100185.72 19047.7127695562
58 5022 946 103332.36 19843.590230854
59 5025 947 106892.82 20690.5063471219
60 5028 948 111172.8 21621.4140560021
61 5030 949 116083.39 22677.356195032
62 5033 950 121120.42 23805.1620054806
63 5036 951 126573.22 25122.337077168
64 5040 952 132400.52 26672.3160268457
65 5043 953 138424.5 28370.0710773659
66 5046 954 144061.38 30341.5669595937
67 5050 955 149953.97 32523.2265477242
68 5053 956 155646.96 34729.8772639316
69 5057 957 161405.2 36854.0450816091
70 5061 958 167167 38912.0512143388
71 5065 959 172536.58 41069.9029596642
72 5069 960 178124.4 43351.7670185618
73 5073 961 183390.7 45379.3695232843
74 5078 963 189173.26 47460.7267859714
75 5083 964 195152 49574.8996200562
76 5088 965 201363.44 51703.6139763244
77 5094 967 207604.46 53908.4715394378
78 5100 968 213528.42 56345.491375859
79 5107 969 220494.52 58871.8664778419
80 5115 971 226727 61313.6242190294
81 5123 973 232543.76 63673.5898698716
82 5133 974 238403.18 66071.3227128874
83 5146 976 244159.19 68377.5392472242
84 5162 978 249523.16 70492.6493010468
85 5182 980 255126.45 72738.6536447074
86 5211 983 261474.98 74962.5292440614
87 5252 986 269734.17 77298.0156548352
88 5302 989 279963.96 79994.2333941225
89 5360 992 292681.33 83056.2656777193
90 5426 996 311447.3 86517.3079499324
91 5495.09 1002 340549.76 90863.2946404588
92 5573 1009 399241.68 96334.2599090708
93 5661 1021 482005.340000001 104066.305094993
94 5761 1046 572655.379999999 114594.558896918
95 5878 1198.10000000001 677284.1 129927.365436369
96 6023 31238.5599999991 797049.479999999 147579.413746939
97 6265.03 143993.78 943659.44 167646.059081959
98 6771.02 307510.480000001 1129534.26 192337.970268476
99 7482 596980.009999999 1393059.51 228447.263500861
100 11632 1967395 2959096 428958.347289209
(100 rows)
