pct tps min_lat max_lat last_stddev
1 590 793 11481.99 976.794113128482
2 1122.96 803 13499 1102.11577290003
3 1566 810 15928.85 1250.65330019055
4 1778 815 18811.84 1430.42091529216
5 1863 819 20777.95 1649.02524673823
6 1899 822 22334.94 1852.32989235206
7 1928 826 23803.51 2020.3821132071
8 1963 829 25353.68 2146.38162265885
9 2018 831 26783.82 2249.72410593552
10 2081 834 28060 2339.76193720974
11 2158 836 29326.89 2421.23397081585
12 2283 839 30455.76 2499.51856451142
13 2554.87 841 31502.87 2567.14365310188
14 2924 843 32435.72 2639.67457564009
15 3245 845 33362.85 2712.6101875434
16 3513 847 34308.84 2782.13494000715
17 3805 849 35163.83 2846.55646380132
18 4078.82 851 36017 2916.96637027625
19 4314 853 36880 2987.67655896858
20 4533 855 37751.8 3063.49360054429
21 4741 857 38653.58 3142.02396514474
22 4937 858 39712.78 3223.06577967426
23 5115 860 40978.31 3305.72535769858
24 5262 862 42450.28 3391.7320301997
25 5390.75 864 44067.5 3485.97502229477
26 5505 866 45477.74 3587.55293940405
27 5596 868 46675.46 3695.92115605599
28 5679 869 47726.16 3804.64199141157
29 5755 871 48637.42 3905.61802858549
30 5827 873 49436 4000.55112501196
31 5895 875 50205.69 4097.21615484265
32 5962 877 50920.68 4192.20999776567
33 6029 879 51565 4283.9182049089
34 6105 881 52189.66 4372.18159617918
35 6178 883 52789.65 4466.48293757174
36 6260 885 53331 4565.62826881062
37 6348.63 887 53878 4656.61578798753
38 6452 889 54416.62 4753.30641796977
39 6558 891 54969 4841.49290273904
40 6675 893 55586.6 4930.10501429059
41 6803.59 896 56161 5013.30872768352
42 6948 898 56806 5097.71217397907
43 7109 900 57456 5181.0792184137
44 7277.56 902 58086 5259.02420757973
45 7466 904 58810.65 5335.7126181538
46 7665 906 59605.54 5411.57962077983
47 7877 908 60518.06 5496.65451081457
48 8131 911 61477.52 5587.45317182226
49 8388 913 62589 5680.5224562223
50 8617.5 915 63884.5 5776.36286045977
51 8826.49 917 65498.98 5874.0790513815
52 9008 919 67805.4 5968.2790389982
53 9153 921 70850.47 6070.81641754486
54 9284 923 74456.1400000001 6167.62969730869
55 9399 925 78695.15 6259.73501245771
56 9494 927 82323.76 6354.61735179231
57 9581 929 85473.86 6444.8636426782
58 9657 931 87595.84 6530.18524588188
59 9728 933 89116.82 6607.43788394732
60 9793 935 90423.4 6683.54228190455
61 9853 937 91714.17 6753.88999890638
62 9908 940 92963.38 6832.39567917462
63 9963 942 94252 6907.61053560936
64 10015 944 95572.36 6991.16872622513
65 10064 946 97118.1 7070.03975843598
66 10111 948 98694.7 7160.51123980783
67 10158 951 100496.99 7270.96481774753
68 10200 953 102622.32 7393.46600585098
69 10242 955 105878.24 7539.81641822646
70 10286 958 110531.7 7699.0173666918
71 10330 960 116666.93 7882.66501059964
72 10376 963 122920.24 8089.70390792192
73 10419 966 129412.27 8298.96139346049
74 10462.26 968 136075.32 8551.69471106477
75 10509 972 142245.25 8844.84204154556
76 10556 974 148447.24 9163.7454795229
77 10604 978 154463.38 9529.30703774777
78 10654 981 159845.4 9899.40099437528
79 10707 985 164762.47 10314.2796214421
80 10763 989 169764.2 10813.6977187765
81 10822 994 173869.09 11411.4320405237
82 10887 999 178024 12181.4054100276
83 10954 1004 182902.51 13104.1795530432
84 11023 1012 189157.96 14021.0563312414
85 11104 1020 199058.3 14983.9332053829
86 11187.14 1032 212681.96 15981.938673368
87 11276 1051 227282.17 16931.1206543258
88 11367.12 1099 243154.8 17875.4570746715
89 11467 1233 257948.21 18838.7815343242
90 11562 1477 273088.4 19770.5129438351
91 11666 2006 287595.36 20818.3224869764
92 11784 3526.32000000001 301534.16 21834.8172753112
93 11904 4348.14000000001 315550.21 23073.4002869422
94 12040 4728.06 329896.6 24444.3229140469
95 12196 5039 345014.45 26477.7508319049
96 12398 5326.03999999999 361596.319999999 29760.6242436442
97 12639 5601 396846.63 37328.415728615
98 12966 5893 509523.840000001 55879.9518028249
99 13354 6286.00999999999 683553.939999999 103771.620906283
100 14520 798150 3235009 732161.215849789
(100 rows)
